Number of Episodes,Winrate as 1st Player,Winrate as 2nd Player,,Number of Episodes,"Winrate as 1st Player (""X"")","Winrate as 2nd Player (""O"")",,Number of Episodes,"Winrate as 1st Player (""X"")","Winrate as 2nd Player (""O"")",,Number of Episodes,"Winrate as 1st Player (""X"")","Winrate as 2nd Player (""O"")",,Number of Episodes,"Winrate as 1st Player (""X"")","Winrate as 2nd Player (""O"")",,Number of Episodes,"Winrate as 1st Player (""X"")","Winrate as 2nd Player (""O"")"
0,0.588,0.284,,0,0.596,0.307,,0,0.583,0.283,,0,0.584,0.278,,0,60.20%,30.30%,,0,0.5906,0.291
1000,0.804,0.506,,1000,0.783,0.464,,1000,0.833,0.455,,1000,0.819,0.508,,1000,68.30%,46.10%,,1000,0.7844,0.4788
2000,0.822,0.524,,2000,0.832,0.578,,2000,0.835,0.621,,2000,0.857,0.64,,2000,80.00%,61.70%,,2000,0.8292,0.596
3000,0.929,0.723,,3000,0.902,0.675,,3000,0.891,0.629,,3000,0.841,0.733,,3000,90.60%,69.20%,,3000,0.8938,0.6904
4000,0.879,0.723,,4000,0.896,0.717,,4000,0.913,0.719,,4000,0.934,0.76,,4000,92.40%,74.80%,,4000,0.9092,0.7334
5000,0.921,0.751,,5000,0.902,0.735,,5000,0.937,0.752,,5000,0.931,0.791,,5000,95.50%,78.30%,,5000,0.9292,0.7624
6000,0.917,0.741,,6000,0.951,0.8,,6000,0.95,0.738,,6000,0.945,0.779,,6000,96.00%,78.70%,,6000,0.9446,0.769
7000,0.94,0.787,,7000,0.934,0.786,,7000,0.98,0.766,,7000,0.968,0.822,,7000,95.30%,78.60%,,7000,0.955,0.7894
8000,0.942,0.792,,8000,0.974,0.846,,8000,0.962,0.818,,8000,0.961,0.836,,8000,96.80%,80.90%,,8000,0.9614,0.8202
9000,0.935,0.807,,9000,0.948,0.834,,9000,0.957,0.825,,9000,0.986,0.848,,9000,96.50%,82.40%,,9000,0.9582,0.8276
10000,0.941,0.789,,10000,0.95,0.841,,10000,0.977,0.831,,10000,0.986,0.835,,10000,97.70%,84.70%,,10000,0.9662,0.8286
11000,0.963,0.852,,11000,0.969,0.878,,11000,0.973,0.849,,11000,0.957,0.851,,11000,97.10%,84.60%,,11000,0.9666,0.8552
12000,0.97,0.848,,12000,0.956,0.859,,12000,0.962,0.857,,12000,0.978,0.874,,12000,96.20%,84.30%,,12000,0.9656,0.8562
13000,0.974,0.857,,13000,0.951,0.882,,13000,0.964,0.85,,13000,0.979,0.873,,13000,98.30%,85.00%,,13000,0.9702,0.8624
14000,0.944,0.869,,14000,0.977,0.863,,14000,0.966,0.839,,14000,0.967,0.871,,14000,97.50%,86.90%,,14000,0.9658,0.8622
15000,0.943,0.851,,15000,0.949,0.863,,15000,0.98,0.867,,15000,0.984,0.89,,15000,98.70%,90.30%,,15000,0.9686,0.8748
16000,0.968,0.812,,16000,0.975,0.878,,16000,0.963,0.884,,16000,0.982,0.857,,16000,97.50%,87.90%,,16000,0.9726,0.862
17000,0.982,0.85,,17000,0.969,0.853,,17000,0.985,0.877,,17000,0.982,0.875,,17000,97.80%,86.80%,,17000,0.9792,0.8646
18000,0.976,0.853,,18000,0.968,0.865,,18000,0.961,0.848,,18000,0.981,0.858,,18000,97.70%,88.10%,,18000,0.9726,0.861
19000,0.976,0.866,,19000,0.97,0.891,,19000,0.98,0.908,,19000,0.98,0.891,,19000,97.20%,88.80%,,19000,0.9756,0.8888
20000,0.971,0.889,,20000,0.972,0.878,,20000,0.97,0.89,,20000,0.983,0.906,,20000,97.30%,90.60%,,20000,0.9738,0.8938
21000,0.983,0.898,,21000,0.979,0.895,,21000,0.992,0.917,,21000,0.99,0.933,,21000,97.60%,89.60%,,21000,0.984,0.9078
22000,0.974,0.873,,22000,0.969,0.872,,22000,0.993,0.9,,22000,0.98,0.914,,22000,99.10%,88.70%,,22000,0.9814,0.8892
23000,0.987,0.904,,23000,0.973,0.881,,23000,0.99,0.901,,23000,0.976,0.906,,23000,96.00%,88.30%,,23000,0.9772,0.895
24000,0.978,0.907,,24000,0.98,0.875,,24000,0.987,0.908,,24000,0.992,0.887,,24000,95.80%,91.00%,,24000,0.979,0.8974
25000,0.974,0.899,,25000,0.978,0.889,,25000,0.982,0.897,,25000,0.996,0.927,,25000,98.10%,90.40%,,25000,0.9822,0.9032
26000,0.976,0.905,,26000,0.978,0.895,,26000,0.985,0.902,,26000,0.996,0.908,,26000,98.10%,90.20%,,26000,0.9832,0.9024
27000,0.984,0.911,,27000,0.986,0.878,,27000,0.989,0.893,,27000,0.992,0.921,,27000,98.80%,92.30%,,27000,0.9878,0.9052
28000,0.99,0.906,,28000,0.983,0.916,,28000,0.997,0.912,,28000,0.985,0.922,,28000,98.60%,89.20%,,28000,0.9882,0.9096
29000,0.986,0.913,,29000,0.981,0.908,,29000,0.995,0.904,,29000,0.986,0.915,,29000,98.40%,91.20%,,29000,0.9864,0.9104
30000,0.974,0.927,,30000,0.988,0.918,,30000,0.982,0.917,,30000,0.993,0.921,,30000,98.50%,90.10%,,30000,0.9844,0.9168
31000,0.992,0.911,,31000,0.988,0.903,,31000,0.986,0.907,,31000,0.988,0.905,,31000,98.40%,91.20%,,31000,0.9876,0.9076
32000,0.982,0.905,,32000,0.995,0.901,,32000,0.991,0.909,,32000,0.986,0.909,,32000,97.60%,89.20%,,32000,0.986,0.9032
33000,0.997,0.895,,33000,0.996,0.916,,33000,0.996,0.909,,33000,0.995,0.902,,33000,98.10%,91.10%,,33000,0.993,0.9066
34000,0.979,0.914,,34000,0.985,0.899,,34000,0.973,0.906,,34000,0.993,0.915,,34000,98.60%,91.30%,,34000,0.9832,0.9094
35000,0.989,0.887,,35000,0.987,0.903,,35000,0.995,0.926,,35000,0.995,0.912,,35000,98.80%,89.80%,,35000,0.9908,0.9052
36000,0.994,0.902,,36000,0.997,0.891,,36000,0.992,0.913,,36000,0.997,0.934,,36000,98.80%,92.80%,,36000,0.9936,0.9136
37000,0.993,0.901,,37000,0.984,0.905,,37000,0.989,0.916,,37000,0.987,0.901,,37000,99.00%,89.40%,,37000,0.9886,0.9034
38000,0.993,0.897,,38000,0.99,0.92,,38000,0.996,0.902,,38000,0.992,0.916,,38000,99.10%,91.00%,,38000,0.9924,0.909
39000,0.982,0.895,,39000,0.987,0.922,,39000,0.994,0.891,,39000,0.993,0.934,,39000,99.70%,90.20%,,39000,0.9906,0.9088
40000,0.992,0.892,,40000,0.984,0.915,,40000,0.975,0.912,,40000,0.997,0.928,,40000,98.80%,89.80%,,40000,0.9872,0.909
41000,0.995,0.912,,41000,0.994,0.886,,41000,0.999,0.929,,41000,0.994,0.907,,41000,98.50%,91.10%,,41000,0.9934,0.909
42000,0.993,0.908,,42000,0.988,0.903,,42000,0.99,0.906,,42000,0.996,0.926,,42000,98.60%,91.40%,,42000,0.9906,0.9114
43000,0.997,0.899,,43000,0.995,0.928,,43000,0.987,0.917,,43000,0.999,0.917,,43000,99.50%,91.30%,,43000,0.9946,0.9148
44000,0.996,0.906,,44000,0.989,0.902,,44000,0.987,0.897,,44000,0.995,0.92,,44000,99.30%,90.20%,,44000,0.992,0.9054
45000,0.986,0.901,,45000,0.99,0.919,,45000,0.989,0.92,,45000,0.999,0.91,,45000,99.50%,92.50%,,45000,0.9918,0.915
46000,0.997,0.924,,46000,0.992,0.915,,46000,0.988,0.91,,46000,0.995,0.908,,46000,99.20%,91.90%,,46000,0.9928,0.9152
47000,0.986,0.904,,47000,0.996,0.917,,47000,0.984,0.914,,47000,0.996,0.932,,47000,99.60%,90.10%,,47000,0.9916,0.9136
48000,0.991,0.912,,48000,0.99,0.888,,48000,0.992,0.911,,48000,0.997,0.907,,48000,99.40%,89.60%,,48000,0.9928,0.9028
49000,0.991,0.921,,49000,0.99,0.903,,49000,0.987,0.923,,49000,0.996,0.909,,49000,98.40%,93.10%,,49000,0.9896,0.9174
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Diff,Number of Episodes,,Time,Number of Episodes,Diff,,Time,Number of Episodes,Diff,,Time,Number of Episodes,Diff,,Time,Number of Episodes,Diff,,,Number of Episodes,Diff
13:15:14.637,00:00:00000,0,,13:17:24.944,0,00:00:00000,,13:21:01.391,0,00:00:00000,,13:21:01.391,0,00:00:00000,,13:27:57.536,0,00:00:00000,,,0,0
13:15:15.632,00:00:00995,1000,,13:17:26.009,1000,00:00:01065,,13:21:02.399,1000,00:00:01008,,13:21:02.399,1000,00:00:01008,,13:27:58.566,1000,00:00:01030,,,1000,1.021
13:15:16.639,00:00:01007,2000,,13:17:27.033,2000,00:00:01024,,13:21:03.425,2000,00:00:01026,,13:21:03.425,2000,00:00:01026,,13:27:59.567,2000,00:00:01001,,,2000,1.017
13:15:17.612,00:00:00973,3000,,13:17:28.019,3000,00:00:00986,,13:21:04.417,3000,00:00:00992,,13:21:04.417,3000,00:00:00992,,13:28:00.565,3000,00:00:00998,,,3000,0.988
13:15:18.562,00:00:00950,4000,,13:17:28.982,4000,00:00:00963,,13:21:05.393,4000,00:00:00976,,13:21:05.393,4000,00:00:00976,,13:28:01.536,4000,00:00:00971,,,4000,0.967
13:15:19.511,00:00:00949,5000,,13:17:29.946,5000,00:00:00964,,13:21:06.411,5000,00:00:01018,,13:21:06.411,5000,00:00:01018,,13:28:02.516,5000,00:00:00980,,,5000,0.986
13:15:20.441,00:00:00930,6000,,13:17:30.891,6000,00:00:00945,,13:21:07.402,6000,00:00:00991,,13:21:07.402,6000,00:00:00991,,13:28:03.474,6000,00:00:00958,,,6000,0.963
13:15:21.381,00:00:00940,7000,,13:17:31.832,7000,00:00:00941,,13:21:08.375,7000,00:00:00973,,13:21:08.375,7000,00:00:00973,,13:28:04.416,7000,00:00:00942,,,7000,0.954
13:15:22.316,00:00:00935,8000,,13:17:32.769,8000,00:00:00937,,13:21:09.332,8000,00:00:00957,,13:21:09.332,8000,00:00:00957,,13:28:05.344,8000,00:00:00928,,,8000,0.943
13:15:23.240,00:00:00924,9000,,13:17:33.697,9000,00:00:00928,,13:21:10.278,9000,00:00:00946,,13:21:10.278,9000,00:00:00946,,13:28:06.276,9000,00:00:00932,,,9000,0.935
13:15:24.177,00:00:00937,10000,,13:17:34.630,10000,00:00:00933,,13:21:11.243,10000,00:00:00965,,13:21:11.243,10000,00:00:00965,,13:28:07.225,10000,00:00:00949,,,10000,0.95
13:15:25.118,00:00:00941,11000,,13:17:35.567,11000,00:00:00937,,13:21:12.209,11000,00:00:00966,,13:21:12.209,11000,00:00:00966,,13:28:08.168,11000,00:00:00943,,,11000,0.951
13:15:26.057,00:00:00939,12000,,13:17:36.510,12000,00:00:00943,,13:21:13.205,12000,00:00:00996,,13:21:13.205,12000,00:00:00996,,13:28:09.105,12000,00:00:00937,,,12000,0.962
13:15:27.062,00:00:01005,13000,,13:17:37.448,13000,00:00:00938,,13:21:14.243,13000,00:00:01038,,13:21:14.243,13000,00:00:01038,,13:28:10.038,13000,00:00:00933,,,13000,0.99
13:15:27.998,00:00:00936,14000,,13:17:38.378,14000,00:00:00930,,13:21:15.300,14000,00:00:01057,,13:21:15.300,14000,00:00:01057,,13:28:10.960,14000,00:00:00922,,,14000,0.98
13:15:28.944,00:00:00946,15000,,13:17:39.305,15000,00:00:00927,,13:21:16.303,15000,00:00:01003,,13:21:16.303,15000,00:00:01003,,13:28:11.876,15000,00:00:00916,,,15000,0.959
13:15:29.903,00:00:00959,16000,,13:17:40.229,16000,00:00:00924,,13:21:17.395,16000,00:00:01092,,13:21:17.395,16000,00:00:01092,,13:28:12.813,16000,00:00:00937,,,16000,1.001
13:15:30.827,00:00:00924,17000,,13:17:41.161,17000,00:00:00932,,13:21:18.514,17000,00:00:01119,,13:21:18.514,17000,00:00:01119,,13:28:13.752,17000,00:00:00939,,,17000,1.007
