,,Zeit in Minuten,Gewinnchance X,Gewinnchance O
11:17:12.302,,,,
11:20:35.808,1000,03:23.506,56.30%,44.30%
11:23:59.330,2000,03:23.522,57.20%,44.10%
11:27:19.909,3000,03:20.579,60.80%,45.20%
11:30:42.774,4000,03:22.865,62.50%,47.80%
11:34:06.225,5000,03:23.451,61.40%,46.90%
11:37:16.102,6000,03:09.877,64.20%,44.70%
11:40:34.816,7000,03:18.714,60.30%,48.70%
11:43:50.337,8000,03:15.521,60.40%,46.80%
11:47:01.156,9000,03:10.819,59.70%,49.50%
11:50:16.642,10000,03:15.486,60.10%,49.10%
11:53:27.862,11000,03:11.220,64.40%,46.60%
11:56:37.641,12000,03:09.779,69.30%,48.00%
11:59:45.334,13000,03:07.693,62.10%,48.30%
12:02:48.552,14000,03:03.218,69.30%,49.70%
12:05:57.611,15000,03:09.059,68.10%,45.80%
12:09:06.712,16000,03:09.101,62.00%,51.40%
12:12:09.149,17000,03:02.437,67.30%,49.00%
12:15:12.717,18000,03:03.568,68.40%,46.30%
12:18:15.720,19000,03:03.003,69.00%,48.00%
12:21:15.451,20000,02:59.731,72.80%,48.80%
12:24:18.963,21000,03:03.512,66.60%,48.70%
12:27:17.544,22000,02:58.581,72.00%,48.10%
12:30:13.452,23000,02:55.908,74.40%,46.30%
12:33:19.204,24000,03:05.752,67.70%,48.70%
12:36:16.578,25000,02:57.374,74.70%,51.20%
12:39:22.504,26000,03:05.926,68.00%,54.10%
12:42:22.222,27000,02:59.718,71.90%,55.60%
12:45:22.690,28000,03:00.468,72.20%,52.00%
12:48:23.227,29000,03:00.537,73.80%,53.60%
12:51:22.683,30000,02:59.456,73.00%,54.90%
12:54:17.670,31000,02:54.987,84.10%,52.80%
12:57:18.515,32000,03:00.845,72.30%,51.20%
13:00:11.465,33000,02:52.950,83.40%,53.80%
13:03:05.129,34000,02:53.664,77.60%,52.40%
13:05:57.170,35000,02:52.041,82.80%,48.70%
13:08:45.203,36000,02:48.033,84.80%,50.90%
13:11:41.800,37000,02:56.597,73.40%,52.90%
13:14:28.869,38000,02:47.069,85.30%,55.10%
13:17:07.741,39000,02:38.872,82.90%,57.90%
13:19:39.267,40000,02:31.526,84.30%,56.20%
13:22:12.111,41000,02:32.844,85.00%,49.70%
13:24:43.404,42000,02:31.293,83.50%,52.90%
13:27:13.730,43000,02:30.326,83.80%,53.70%
13:29:50.854,44000,02:37.124,84.90%,51.40%
13:32:28.120,45000,02:37.266,85.50%,56.60%
13:35:14.507,46000,02:46.387,72.90%,53.20%
13:37:50.343,47000,02:35.836,87.80%,54.90%
13:40:25.157,48000,02:34.814,84.80%,52.70%
13:43:11.367,49000,02:46.210,71.80%,55.40%
